video,obj_id,frame_idx,source,mask_kind,area,bbox,area_ratio_init,pos_sim,neg_sim,margin,score,decision,reasons
q0sizv6m,2,22,m17_q0_full_box,anyfg:2,521,"[15, 729, 33, 799]",0.06691,0.79308,0.32863,0.46445,0.61445,output_only,delayed_promotion_evidence_met;current_best_reference_not_new_anchor
q0sizv6m,2,16,m17_q0_full_box,object_id,1050,"[0, 865, 63, 905]",0.13484,0.93138,0.50577,0.42561,0.57561,output_only,delayed_promotion_evidence_met;current_best_reference_not_new_anchor
q0sizv6m,2,16,m17_q0_full_box,anyfg:0,984,"[30, 865, 63, 905]",0.12636,0.87424,0.47456,0.39968,0.54968,output_only,delayed_promotion_evidence_met;current_best_reference_not_new_anchor
q0sizv6m,2,22,m17_q0_full_box,anyfg:3,378,"[0, 729, 12, 793]",0.04854,0.80412,0.42502,0.37911,0.52911,output_only,delayed_promotion_evidence_met;current_best_reference_not_new_anchor
q0sizv6m,2,22,m17_q0_full_box,anyfg:4,287,"[31, 761, 46, 797]",0.03686,0.80982,0.48302,0.3268,0.4768,output_only,delayed_promotion_evidence_met;current_best_reference_not_new_anchor
q0sizv6m,2,6,m17_q0_full_box,anyfg:1,8275,"[0, 953, 50, 1173]",1.06267,0.94188,0.62065,0.32123,0.47123,output_only,delayed_promotion_evidence_met;current_best_reference_not_new_anchor
q0sizv6m,2,6,m17_q0_full_box,object_id,8674,"[0, 953, 180, 1256]",1.11391,0.95,0.6297,0.3203,0.4703,output_only,delayed_promotion_evidence_met;current_best_reference_not_new_anchor
q0sizv6m,2,15,official_large,anyfg:2,159,"[809, 1035, 825, 1052]",0.02042,0.74208,0.54037,0.20171,0.43171,output_only,kept_as_recovery_branch_output_only
8jsm23a7,1,44,m15_safe,object_id,13995,"[153, 787, 265, 929]",5.06882,0.75929,0.32229,0.437,0.587,output_only,delayed_promotion_evidence_met;current_best_reference_not_new_anchor
8jsm23a7,1,43,m15_safe,object_id,14189,"[153, 786, 265, 929]",5.13908,0.75515,0.32154,0.4336,0.5836,output_only,delayed_promotion_evidence_met;current_best_reference_not_new_anchor
8jsm23a7,1,45,m15_safe,object_id,14031,"[153, 787, 265, 929]",5.08185,0.75771,0.32436,0.43335,0.58335,output_only,delayed_promotion_evidence_met;current_best_reference_not_new_anchor
8jsm23a7,1,39,m15_safe,object_id,14153,"[153, 786, 265, 929]",5.12604,0.75231,0.31964,0.43267,0.58267,output_only,delayed_promotion_evidence_met;current_best_reference_not_new_anchor
8jsm23a7,1,40,m15_safe,object_id,14115,"[153, 786, 265, 929]",5.11228,0.74788,0.31916,0.42873,0.57873,output_only,delayed_promotion_evidence_met;current_best_reference_not_new_anchor
8jsm23a7,1,36,m15_safe,object_id,14155,"[153, 786, 265, 930]",5.12677,0.74847,0.32064,0.42783,0.57783,output_only,delayed_promotion_evidence_met;current_best_reference_not_new_anchor
8jsm23a7,1,41,m15_safe,object_id,14165,"[153, 786, 265, 930]",5.13039,0.74481,0.32053,0.42428,0.57428,output_only,delayed_promotion_evidence_met;current_best_reference_not_new_anchor
8jsm23a7,1,37,m15_safe,object_id,14164,"[153, 787, 265, 930]",5.13003,0.74318,0.31967,0.42351,0.57351,output_only,delayed_promotion_evidence_met;current_best_reference_not_new_anchor
r13u5z4y,1,29,m16mask,anyfg:1,383,"[156, 705, 209, 723]",0.01152,0.91931,0.55943,0.35988,0.58988,needs_more_evidence,state_occluded_non_empty_candidate_review_only
r13u5z4y,1,35,m16mask,anyfg:5,14,"[189, 687, 195, 691]",0.00042,0.83289,0.48004,0.35284,0.38284,needs_more_evidence,state_occluded_non_empty_candidate_review_only
r13u5z4y,1,28,m16mask,anyfg:1,245,"[178, 705, 209, 719]",0.00737,0.90021,0.55392,0.34629,0.37629,needs_more_evidence,state_occluded_non_empty_candidate_review_only
r13u5z4y,1,28,m16mask,anyfg:2,84,"[155, 709, 173, 718]",0.00253,0.93194,0.58658,0.34536,0.37536,needs_more_evidence,state_occluded_non_empty_candidate_review_only
r13u5z4y,1,32,m16mask,anyfg:5,21,"[145, 633, 151, 637]",0.00063,0.85214,0.5119,0.34024,0.37024,needs_more_evidence,state_occluded_non_empty_candidate_review_only
r13u5z4y,1,27,m16mask,anyfg:3,107,"[182, 707, 199, 717]",0.00322,0.88076,0.54667,0.33409,0.36409,needs_more_evidence,state_occluded_non_empty_candidate_review_only
r13u5z4y,1,34,m16mask,anyfg:7,24,"[144, 625, 150, 630]",0.00072,0.86739,0.53341,0.33397,0.36397,needs_more_evidence,state_occluded_non_empty_candidate_review_only
r13u5z4y,1,35,m16mask,anyfg:4,14,"[145, 633, 150, 637]",0.00042,0.84676,0.51538,0.33138,0.36138,needs_more_evidence,state_occluded_non_empty_candidate_review_only
